hour,age,minigame,num_screens,location,VerifyPhone,BankVerification,VerifyDateOfBirth,VerifyCountry,Cycle,idscreen,Alerts,VerifyMobile,ProfileMaritalStatus,ProfileEducationMajor,ProfileJobTitle,WebView,TransactionList,lainnya,jumlah_credit
23,22,0,9,1,1,0,1,1,0,1,0,0,0,0,0,0,0,4,0
3,38,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
15,26,0,21,1,1,1,0,1,0,0,0,0,0,0,0,0,0,11,4
17,28,0,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1
15,33,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3
14,30,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3
23,23,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0
11,25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2
23,19,0,13,1,1,0,1,0,1,0,0,0,0,0,0,0,0,7,1
4,21,0,14,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,5
20,33,0,22,1,1,1,1,1,0,1,0,0,0,0,0,0,0,14,0
10,30,0,17,1,1,0,1,1,0,0,0,0,0,0,0,0,0,11,0
4,29,0,12,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,0
16,18,0,16,1,1,0,1,1,0,0,0,0,0,0,0,0,0,10,0
3,28,0,23,1,1,0,1,0,1,0,0,0,0,0,0,1,0,5,5
21,19,0,24,1,1,1,1,1,1,1,0,0,0,0,0,0,0,13,0
21,42,1,19,1,0,1,1,0,0,1,0,1,0,0,0,0,0,8,4
17,24,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0
0,26,0,13,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9,0
20,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,20,0,16,1,1,0,1,1,0,1,0,0,0,0,0,0,0,7,2
15,54,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5,30,0,21,1,1,0,1,1,0,1,0,0,0,0,0,0,0,13,1
15,44,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
16,55,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3
1,35,0,19,1,1,0,1,1,0,1,0,0,0,0,0,0,0,12,2
18,20,0,21,1,1,0,1,1,1,1,0,0,0,0,0,0,0,11,2
4,21,0,14,1,0,0,1,1,1,1,0,0,0,0,0,0,0,6,2
13,32,0,18,1,1,0,1,1,0,0,0,0,0,0,0,0,0,13,0
2,41,0,20,1,1,1,1,1,1,1,0,0,0,0,0,0,0,13,0
15,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,45,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
19,47,1,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,2
22,24,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
1,44,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
7,33,0,25,1,1,1,1,1,0,1,0,1,0,0,0,1,0,9,5
20,38,1,20,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5,3
2,34,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2
20,34,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0
14,56,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
19,30,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
3,46,0,13,1,1,0,1,1,0,1,0,0,0,0,0,1,0,7,0
13,29,1,22,1,1,0,1,1,0,0,0,0,0,0,0,0,0,11,5
22,25,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3
19,39,0,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,0
3,25,0,10,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,2
19,37,0,13,0,1,1,0,1,1,0,0,0,0,0,0,0,0,9,0
23,26,0,14,0,0,1,0,0,0,1,0,1,0,0,0,0,0,6,4
3,29,0,17,1,1,0,1,1,0,0,0,1,0,0,0,1,0,9,2
0,53,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0
19,40,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
18,25,0,9,1,1,0,1,0,0,1,0,0,0,0,0,0,0,3,3
16,39,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
18,25,0,18,0,1,1,0,1,1,1,0,0,0,0,0,0,0,11,0
15,37,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
3,20,0,21,1,0,1,1,0,1,0,0,1,0,0,0,0,0,7,5
12,24,1,21,1,1,0,1,1,1,1,0,0,0,0,0,0,0,13,1
16,19,0,22,1,1,0,1,1,0,1,0,0,0,0,0,0,0,12,3
14,24,0,23,1,1,0,1,1,0,0,0,0,0,0,0,0,0,15,2
3,27,0,13,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,0
21,31,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1
2,34,0,19,1,1,0,1,0,0,1,0,0,0,0,0,0,0,6,4
13,35,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0
3,21,0,12,0,1,0,0,1,1,0,0,0,0,0,0,1,0,8,0
22,35,0,8,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0
17,21,0,18,1,1,0,0,1,0,0,0,0,0,0,0,0,0,12,0
13,31,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,31,0,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0
16,37,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0
18,30,0,18,0,1,1,0,1,1,0,0,0,0,0,0,0,0,13,0
0,44,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
2,58,0,26,1,1,1,1,0,1,0,0,0,0,0,0,0,0,5,5
9,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,37,0,23,1,1,0,1,1,1,1,0,0,0,0,0,0,0,11,0
2,29,0,12,1,1,1,0,1,0,0,0,0,0,0,0,0,0,7,0
23,35,0,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,3
4,26,0,14,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,3
